"	1	Gji      Hi all, When I was asked for the script of ANDHADHUN, I wondered which version makes the most sense. Because we had so many.  ANDHADHUN took it’s basic inspiration from the French short film, Le Accordeur.  That film ends on a solid tense situation but somehow I found it very funny. That was the nucleus. A blind man playing the piano as a man and woman dispose of a dead body in dumb charades. We had to construct a back story and a forward story from this madcap situation.   We have dozens of versions of the story and script. Some abandoned halfway, coz they were leading nowhere. Some so typical that we rejected them outright. In one version, Akash was a music teacher in a Pune school and had no lofty artistic aspirations. In another, Sophie and Pramod’s daughter merged into one character. In a third, a blind Akash enlisted the building kid’s help, to PRETEND he could see. The blind rabbit came into existence after three or four drafts. Once we were stuck on a scene and couldn’t crack it. By chance, an actor who had come for an audition told us a story that cracked our scene. I always wonder, what if he hadn’t come that day. We brainstormed a lot, that’s one of the main advantages of collaborative writing. We also argued and fought a lot.  What you read below is an in between draft. Somethings will be in full detail….and some just broad strokes.   All writing is rewriting….! We began ‘writing’ sometime in 2013….and we finished the last rewrite in July 2018. We were in Poland and kept reworking on the last scene between Akash and Sophie. Funnily, the last shot in the film was also the last shot on the last day of the film’s shoot.    HNY Sriram Raghavan 1.1.2019     "
	2	   CONFIDENTIAL   	“Living is easy with eyes closed” ----- JOHN LENNON 					Shoot the Piano Player A	Sriram	Raghavan	film					WRITTEN	BY		Sriram	Raghavan	Arijit	Biswas	Pooja	Ladha	Surti	Yogesh	Chandekar	Hemanth	Rao									Khulli nazar kya khel dikhega duniya ka… Bandh aankh se dekh tamasha duniya ka…  -----       Majrooh Sultanpuri in Manmohan Desai’s Parvarish. 		
"	3		  EXT.  VEGETABLE FIELD. DAY.   A half-eaten cabbage. And another. And now we see a wild hare feasting on a cabbage patch. A scarecrow in the distance stands guard in vain. We are in a vegetable patch in a field… besides a desolate road, leading to a distant highway.   And now we see a pair of feet cautiously moving forward thru the field. It’s an angry farmer with a rifle…..   The hare’s ears perk up as the farmer quietly advances thru the bushes and shrubs. The hare darts across the field, tensing up. And now we see the hare in close up. It’s got nasty scars where the eyes should be… We now realize the hare is blind.   The farmer cocks his gun and aims at the hare.  The blind hare senses danger…. It dashes blindly in the opposite direction, hitting the scarecrow pole full force…The scarecrow shakes a bit and stops.  The hare recovers… frozen for a second. The farmer advances stealthily. The farmer steps on a dry bisleri bottle in the field.   THE SOUND alerts the hare.  It hops on the road….Stands at a milestone, on its hind legs, ears upright….alert…  The farmer gets a clear view. The farmer sucks his breath and aims the rifle….  We see the blind hare in the cross hairs, resting against the milestone. The milestone reads PUNE 32 km though we are too coiled to read it.  The farmer squeezes the trigger.  finger on the trigger. On the SOUND OF THE GUNSHOT, we cut to BLACK. On black we hear the screech of a car. A shattering noise and after a beat, an EXPLOSION.  "
"	4	Titles   VIACOM presents A MATCHBOX FILMS production SHOOT THE PIANO PLAYER  Fade in on:  INT. ONE BHK FLAT. PUNE. DAY.   The notes of a piano fill the air as we see a tree lined lane in the Prabhat Road area of Pune.  A two storied building with a board saying LADY BARVE TRUST FOR THE DISABLED.  Inside a modest old flat we see a young man 27, playing the piano with total focus and concentration. We see a cat on a chair listening… It reminds us of an EDWARD HOPPER painting. It’s a digital piano on which there’s a picture of Kishore Kumar at some recording.  This is AKASH, a passionate piano player… his fingers dance on the keys… and now we see his eyes… they are glazed. We realize he is blind. The blindness does not seem to affect his passionate play.  And then he abruptly stops. And tries the last bit again. And Again. Stops. We sense he is stuck. He checks his braille watch and rises from the piano seat  EXT. ONE BHK FLAT. DAY.  "
"	5	Akash locks the door. He has dark glasses on. He taps his way down the stairs.  Below, we see a kid hear the cane….and quickly tie a sutli rope across the stairs. Akash trips… and has a near nasty fall. The kid watches amused, as he untangles his leg and proceeds towards the gate.  The kid is KERSI… son of the Istree walla who lives behind the house.  ‘Hey, I can drop you to the bus stop…for five bucks’.  Akash turns and smiles. “Ah Kersi….thank you so much. Deal.’  He extends his hand and Kersi grabs it. And WINCES… AAOOOUUUCHH… AKASH IS SQUEEZING HIS FINGERS…. The next time you tie a rope na…remember this handshake…Now the sooner you call out an auto for me….”  Kersi screams at a passing auto.    INT. AUTO. DAY.  The auto is winding thru a busy road. Akash takes off his glasses and wipes the sweat on his nose. The driver notices his foggy eyes… Akash: Take it from the left…..near the school…. Driver: That’s a long cut Sir…. Akash: It’s ok….and slow down near the school gate…. The driver stops near the gate. WE SEE inside, the girls of the school are doing a lezim dance.  Akash is enjoying the music and energy…. The meter drops again… The driver curiously watches Akash LISTEN and enjoy. CUT TO: "
"	6	EXT. GITA SOCIETY. DAY. Akash gets off the rickshaw.  The building guard comes to help Akash. INT. GITA SOCIETY APARTMENT. DAY.  Akash explaining the basics to two kids who are more interested in playing with his folding cane.   In the distance is an old lady on a chair knitting a sweater. The kid’s mother darts in and out. YELLING AT THEM TO CONCENTRATE.  CUT TO  INT. BOAT CLUB ROAD HOUSE. TUITION # 2. DAY.  Akash playing Fur Elise…as a middle aged lady MRS JONEJA places her fingers on his.  Akash continues playing as she continues gliding her fingers alongside…. and suddenly Mrs. Joneja gives him a tight hug or plants a kiss on his lips. CUT TO:   INT. MUSIC HOUSE. DAY. We are in a shop selling musical instruments. The owner Alurkar, an affable middle aged Maharashtrian with Akash. Akash: …..arre then what? The bell rang….luckily…..her husband came… I wonder what would have happened otherwise… I have decided sir. No tuitions till I crack the piece for the competition.  Alurkar: But you need to save money for the trip too, na? How will you do that?  Akash: I don’t know and right now I don’t care…No tuitions.  ALURKAR COMES CLOSER TO HIM.  Alurkar: That Mrs. Joneja…maybe she can sponsor your trip, eh?  Akash: (laughs) Sir, I’m looking for a muse, not a f*ck.   "
"	7	    INT. AKASH’S HOUSE. NIGHT.  We catch Akash playing his unfinished piece again. And he stops at the same point. Once again.  Stuck.   We hold on frustrated Akash …….as the camera moves from him to the photo of Kishore Kumar in a frame ….. transition to: https://www.youtube.com/watch?v=ghS8KekFnk4     EXT. INT. PRAMOD SINHA HOUSE. DAY.    A SWANKY RED CAR ENTERS A POSH   BUILDING….A MAN GETS OUT WITH A RED PLASTIC BUCKET IN HIS HAND. WE SEE THE BUCKET HAS A BIG CRAB IN IT.   The man ENTERS HIS HOUSE USING HIS KEY…. We still don’t see his face.   And then we see a good looking HERO, dancing around trees with a beautiful girl in a scenic spot.   Pull out and we see it’s the same actor, only 30 or more years later.   THIS IS PRAMOD SINHA, yes, the 70s star- famous for his bold films, family dramas, and the first start to work in a horror film too.  He is now retired and living in Pune. He is a flamboyant man, with a youthful spring in his stride.  He reads the comments below the song.  ‘Purani yaadein taaza kar di….Where are you, Pramod Kumar.’  He presses a like on a comment. In the bg we get a glimpse of his wife, emerging from her bath perhaps.  This is SIMI. She’s beautiful and much much younger. She seems like a fun person…..  "
"	8	Pramod: Denmark se aaya hai yeh comment…. Simi: wo Hamlet bhi wahin ka tha na? (for a second, we wonder if she’s the one who’s posted it?) CUT TO: INT. SWANKY KITCHEN. SOME TIME LATER.    Simi in a bright apron, looking even sexier.  There’s loud music on the PORTABLE BLUE TOOTH SPEAKER and she’s humming to herself as she CUTS A JUICY ROOT OF GINGER….. SMASHING GARLIC CLOVES and PLUCKING MINT LEAVES….as she takes a large sip of RED WINE.   She’s also dry roasting BEGDI MIRCH as we see a BIG POT of water on the boil.  Pramod Sinha walks in, whilst talking on the phone. A face time call.   On the phone we see a 17 year old girl… She is DAANI, daughter of Pramod’s first wife, now deceased.  Pramod: …. Here….talk to your mother.  He hands the phone to Simi….  Simi: Hello darling…. All good….and wow you are going scuba diving?  Daani: Yesssssss!!!  Did dad meet Dr. Mehan for the tests?  Simi: Yes…all good and he walks an hour in the morning…..  Daani: Thanks and bye Aunty….  Simi hangs up and hands the phone to Pramod.  SimI: Why does she call me Aunty? She can call me Simi na…?  Pramod: Give her time….  "
"	9	Simi: Two years is a long time….. Pramod:  Arre, she loves me. I love you.  so she loves you.   Pramod pops an olive in his mouth as he starts shooting her with his Iphone. As if on cue….Simi tosses her hair and turns to camera…..  Simi: ….and now for the main course. Putting the crab in boiling water will kill it but I don’t want to give the poor thing a shock. So I put the crustacean in the deep freeze for about two hours. And then…..when he is  in deep sleep I simply take him out and put him in boiling water.   The frozen crab is immersed in boiling water.   Simi: …They say that crab meat is an aphrodisiac. I can’t spell the word but we all know what it means…. Coming up after the break…a chettinad crab masala  Pramod Sinha is shooting his wife on his phone. He CONTINUES SHOOTING AS HE MOVES CLOSER TO GET A BETTER ANGLE  Pramod: Wow…you are too good. You must do a show. I’m going to talk to my friends in TV. Cookery shows are huge today.   Simi: Shaddup Pammi. You also promised to launch me as a heroine… REMEMBER? Nurse Radha Part two.   Pramod:  Darling…..Nurse Radha flopped. That film had a message….but nobody got it.   Simi: What message?  Pramod: a message for me. Pramod, better you quit.   Simi: (laughs) …. Pass me the chilly powder  Simi GROUNDS THE MASALAS and the CRAB IS BOILING and Pramod is still shooting her. And NOW, Pramod Sinha places the camera near the blue tooth speaker and grabs Simi…..  "
"	10	Pramod: GARMA GARAM…SIMI KE SAATH……How’s that title of your cookery show.   the crab turning red… ….Simi protests sexily and tries to push Pramod away….but he has her in a hug and she turns…..   HER FINGERS FULL OF CHILLY POWDER PASTE, she puts her arms around PRAMOD SINHA’S NECK.   CUT TO  ON BLACK. A car screeching.  A girl’s voice screaming, “ANDHAA HAI KYA?”   EXT. EAST STREET. DAY.    A young woman is yelling at a car driver who broke a signal and almost hit the blind Akash.  Angry girl: Can’t you see it’s RED for you and GREEN for pedestrians.   She holds Akash as she whips out her phone and take a pic of the driver and his number plate. She continues yelling at the guy to apologize.   Angry girl: (to Akash) Are you ok?? Akash: Thank you. Are you ok?   She helps him across the street. Girl: “Where do you want to go?”   Akash: Koregaon Park…… Girl:  Oh that’s exactly where I’m going. I can drop you if you promise not to fall off the scooter? I’m SOPHIE.  Akash: Akash….  STREETS… Akash seated behind her on scooter. Feeling the wind and speed. She’s got a helmet and mask.   "
"	11	Sophie: Hold tight, there are speed breakers ahead. THE SCOOTER GOES OVER THREE SUCCESSIVE SPEED BREAKERS. Akash can’t help but bump into her each time.  Akash: Sorry… Sophie: Fine…I know you are still there…. Where in Koregaon Park? Akash: I have a date at a place called Franco’s. It’s near the Fire Station I was told.   SHE BREAKS THE BIKE. AND LOOKS AT HIM….. Sophie: Do you believe in COINCIDENCES? They say it’s God’s way of letting us know he exists.   Cut to:   INT. FRANCO’S. DAY.   It’s an old Jazz café in Koregaon Park, with Irani marble top tables and bended wood chairs. AND THIS GIRL SOPHIE’S FATHER OWNS THE PLACE.  Photos and posters of jazz greats adorn the walls.  There is a grand piano on an elevated stage. She leads Akash to it.  Sophie: Now evaluate this white elephant for us…and give us the best price.  Akash feels it. Strums a few keys. With his fingers, he reads the embossed brand name on the side.  Akash: (in awe) It is an original Steinway...in perfect condition....why do you want to sell it??   Fonseca: She does...not me...   Sophie: Dad…Char Tables aur aa sakte hain yahan…..aur aaj kal yeh piano viano kaun sunta hai? (to Akash)... tum kyoon nahin kharid lete??   Akash: Kaash.  AKASH STARTS PLAYING… the incomplete piece, which we heard him play before…He plays with passion… "
